ts_utc,lat,lon,alt_m,speed_ms,hdop,num_sat,fix_quality
1710489600,34.26823889278847621082,108.94939586779381694998,308,4.30,0.1,10,4
1710489601,34.26484767601550340281,108.95016554460280159916,322,5.40,0.5,8,4
1710489602,34.27100203863643299661,108.94865457319864497817,310,7.40,0.7,13,4
1710489603,34.27080519425031281472,108.94776465346232490005,313,8.50,0.6,10,4
1710489604,34.26869575487533188879,108.94809120151371807000,322,1.10,0.4,10,4
1710489605,34.26842200384533219397,108.94567596667378765221,317,9.10,0.7,13,4
1710489606,34.27022473220007934812,108.94351983397930845057,325,1.60,0.4,10,4
1710489607,34.26245502487258522293,108.94404536271248512222,321,11.50,0.3,11,4
1710489608,34.26535397808771019623,108.94452419812616351817,341,5.40,0.3,13,4
1710489609,34.26933633838923306985,108.95062912076174199652,344,9.60,0.2,12,4
1710489610,34.26729983825189977721,108.94582581255531479842,339,5.50,0.6,9,4
1710489611,34.26787541734061708426,108.95264212164677877132,335,7.30,0.2,8,4
1710489612,34.26430505691702017273,108.94391871089815973387,310,4.60,0.7,13,4
1710489613,34.26754123966185491500,108.95122941984313486129,344,11.00,0.4,14,4
1710489614,34.26900795922727134006,108.94513609424115726187,313,7.80,0.9,11,4
1710489615,34.26835150608844264046,108.94610139469588305307,308,10.00,0.6,8,4
1710489616,34.26967936643574327829,108.94858315988647114474,326,3.10,0.9,13,4
1710489617,34.26839758903775139622,108.94466702475051118503,340,4.90,0.2,11,4
1710489618,34.26456141239661854915,108.94524138309884945219,337,5.70,0.5,11,4
1710489619,34.26736697897274697103,108.95014540238654744102,343,5.60,0.1,8,4
1710489620,34.26989421674245429853,108.94796973784600360118,331,8.00,0.6,13,4
1710489621,34.26510647297585985900,108.94728734397412030396,306,11.70,0.3,10,4
1710489622,34.26513790704062013611,108.95173053376873073519,305,2.20,0.5,13,4
1710489623,34.26536069215979491561,108.94558044373912778099,334,4.40,0.4,14,4
1710489624,34.26999187597277748954,108.94832466811120944853,313,4.30,0.3,11,4
1710489625,34.26672486953337199011,108.94520384533219397564,341,1.50,0.3,9,4
1710489626,34.27120224005859553819,108.94487577135532700582,324,2.40,0.6,11,4
1710489627,34.26690462355418561357,108.94806922818689535203,340,4.70,0.9,8,4
1710489628,34.26834570757164220099,108.94887369609668263801,339,5.80,0.7,13,4
1710489629,34.26255604113895077364,108.95109605395672475356,340,7.20,0.5,9,4
1710489630,34.26431848506118961149,108.95166766563921018097,308,2.10,0.1,14,4
1710489631,34.26752506485183263649,108.94492185430463576158,335,5.30,0.8,12,4
1710489632,34.26162949919125949888,108.94837868587298196356,309,2.20,0.3,13,4
1710489633,34.26964335459456160161,108.95115464949491866817,317,3.30,0.2,12,4
1710489634,34.26211260719626453444,108.94637026276436658833,328,5.30,0.3,10,4
1710489635,34.27107650379955442976,108.94528014160588396862,328,8.00,0.9,12,4
1710489636,34.26978007751701406903,108.94812110965300454725,307,8.50,0.2,8,4
1710489637,34.27016003295999023407,108.95039870601519821771,316,2.60,0.1,10,4
1710489638,34.26336264534440137943,108.94471921140171514023,338,8.10,0.9,8,4
1710489639,34.26674623249000518814,108.94464138920255134739,325,5.20,0.4,12,4
1710489640,34.26264271370586260567,108.94939739371929074983,342,6.60,0.4,10,4
1710489641,34.26480250862147892696,108.94630617389446699423,330,2.50,0.2,9,4
1710489642,34.26483241676076540421,108.94327599108859523300,334,2.40,0.1,9,4
1710489643,34.26942575762199774163,108.94783667714468825342,343,11.40,0.5,8,4
1710489644,34.26874061708426160466,108.95211354106265449995,316,.30,0.8,13,4
1710489645,34.26359550157170323801,108.95036727195043794061,328,6.20,0.9,10,4
1710489646,34.26693300576799829096,108.94323601184118167668,342,6.00,0.4,8,4
1710489647,34.27018414258247627185,108.94944408703878902554,338,3.40,0.1,8,4
1710489648,34.26517117221594897305,108.94505979796746726889,306,6.10,0.5,11,4
1710489649,34.26912576067384868923,108.94455166478469191564,319,10.90,0.3,11,4
1710489650,34.27062727134006775109,108.94872140873439741203,309,4.00,0.9,9,4
1710489651,34.26384056520279549546,108.94538115787224951933,335,11.80,0.9,9,4
1710489652,34.26433008209479049043,108.94390162053285317545,339,5.40,0.9,8,4
1710489653,34.27013500778221991637,108.94843331400494399853,343,11.90,0.2,10,4
1710489654,34.26388695333719901120,108.94700443739127780999,307,11.80,0.5,13,4
1710489655,34.26979655751213110751,108.94465176549577318643,336,3.40,0.6,13,4
1710489656,34.26667298806726279488,108.95096329844050416577,341,9.90,0.9,9,4
1710489657,34.26949411908322397534,108.95266897793511764885,337,9.90,0.7,12,4
1710489658,34.26266926480910672322,108.95061538743247779778,313,2.60,0.4,13,4
1710489659,34.26673890804773094882,108.95062790002136295663,308,6.10,0.5,13,4
1710489660,34.26639862666707358012,108.94414302194280831324,325,4.40,0.7,10,4
1710489661,34.26940225836970122379,108.94728001953184606463,318,1.60,0.7,12,4
1710489662,34.26358024231696523941,108.94677921079134495071,341,9.10,0.5,12,4
1710489663,34.26380363780632953886,108.95309532151249732963,334,10.60,0.8,14,4
1710489664,34.26374565263832514419,108.94918040711691640980,320,10.90,0.8,12,4
1710489665,34.27055555284279915768,108.94373437910092471083,333,10.00,0.4,14,4
1710489666,34.26644257332071901608,108.95089585253456221198,305,5.00,0.5,9,4
1710489667,34.27088210089419232764,108.94709660328989532151,328,2.00,0.6,10,4
1710489668,34.26421624805444502090,108.94582947477645191808,307,10.00,0.9,10,4
1710489669,34.26564115726187932981,108.94898875087740714743,315,9.50,0.9,13,4
1710489670,34.26631500595110934781,108.94323479110080263679,342,2.20,0.1,10,4
1710489671,34.27017895443586535233,108.94334923551133762627,334,.10,0.1,10,4
1710489672,34.26141190221869563890,108.94463040253913998840,323,6.90,0.9,9,4
1710489673,34.26291646473586230048,108.94783667714468825342,330,3.10,0.7,10,4
1710489674,34.27061781060213019196,108.94560394299142429883,329,9.00,0.5,11,4
1710489675,34.27030835291604358043,108.94479886471144749290,333,8.40,0.1,13,4
1710489676,34.26313711355937376018,108.95047835932493057039,339,9.90,0.3,14,4
1710489677,34.26626373485518967253,108.95094224066896572771,326,8.50,0.4,13,4
1710489678,34.26559263283181249427,108.94363427838984344004,327,10.30,0.1,13,4
1710489679,34.26393730887783440656,108.94610749839777825251,318,3.40,0.6,11,4
