ts_utc,lat,lon,alt_m,speed_ms,hdop,num_sat,fix_quality
1710489600,34.26803930173650318918,108.94500639057588427381,319,9.60,0.9,13,4
1710489601,34.26183061616870632038,108.94917399822992645039,329,4.90,0.4,8,4
1710489602,34.26252399670400097659,108.94367303689687795648,339,.20,0.8,12,4
1710489603,34.26585966978972746971,108.94733190099795525986,321,11.50,0.6,11,4
1710489604,34.26811254615924558244,108.95043776970732749412,328,5.90,0.3,14,4
1710489605,34.27061048615985595263,108.95245046540726950895,313,5.00,0.4,10,4
1710489606,34.26188951689199499496,108.94797858821375164036,341,6.70,0.1,14,4
1710489607,34.26392479628894924771,108.95107316507461775566,312,8.10,0.9,11,4
1710489608,34.26479640491958372753,108.94951397442548905911,337,9.80,0.6,9,4
1710489609,34.26743137302774132511,108.94833199255348368785,327,9.00,0.1,8,4
1710489610,34.26490016785180211798,108.94598511917477950376,312,4.70,0.8,13,4
1710489611,34.26867011932737205114,108.94943615222632526627,305,9.50,0.3,12,4
1710489612,34.26208147831659901730,108.94394037903988769188,315,11.30,0.9,13,4
1710489613,34.26237048860133671071,108.94725529953917050691,326,6.90,0.9,11,4
1710489614,34.26543393658253730887,108.94363488876003295999,306,6.00,0.8,10,4
1710489615,34.26430627765739921262,108.94321861629078035828,341,1.70,0.3,9,4
1710489616,34.27114394970549638355,108.94797584154789880062,321,6.50,0.9,14,4
1710489617,34.26361716971343119602,108.94597626880703146458,326,11.70,0.5,13,4
1710489618,34.26676942655720694601,108.95076157109286782433,329,9.00,0.1,14,4
1710489619,34.26788274178289132358,108.94675632190923795281,335,10.20,0.8,9,4
1710489620,34.26278859218115787224,108.94667361674855800042,307,9.20,0.2,13,4
1710489621,34.26875496078371532334,108.94784094973601489303,327,11.50,0.8,10,4
1710489622,34.26886574297311319315,108.95021071199682607501,313,11.20,0.8,12,4
1710489623,34.26925882137516403698,108.94493100985747856074,323,1.40,0.2,9,4
1710489624,34.26822607501449629200,108.94934093447676015503,337,3.20,0.4,13,4
1710489625,34.26744449598681600390,108.94820137333292641987,314,4.40,0.4,14,4
1710489626,34.27090041199987792596,108.95241750541703543198,315,10.90,0.2,12,4
1710489627,34.26253803521835993530,108.94433345744193853572,343,1.20,0.7,9,4
1710489628,34.26696321909237952818,108.95228566545609912411,341,6.80,0.4,12,4
1710489629,34.27115432599871822260,108.94328484145634327219,305,.40,0.1,10,4
1710489630,34.26189073763237403485,108.95047744376964629047,312,3.20,0.9,14,4
1710489631,34.26936929837946714682,108.95154772789696951200,335,9.10,0.4,9,4
1710489632,34.26237537156285287026,108.95132189092684713278,325,7.10,0.2,8,4
1710489633,34.27096816309091463972,108.94638491164891506698,324,2.30,0.4,10,4
1710489634,34.26527981810968352305,108.94360528580584124271,330,9.90,0.3,11,4
1710489635,34.26298665730765709402,108.94324150517288735618,332,5.80,0.9,14,4
1710489636,34.26725467085787530137,108.94568420667134617145,333,1.50,0.8,8,4
1710489637,34.26966105533005767998,108.94862527542954802087,308,4.00,0.8,10,4
1710489638,34.26302022766808069093,108.94572998443556016724,330,2.40,0.5,12,4
1710489639,34.26703432721945860164,108.94827583849604785302,318,4.60,0.4,11,4
1710489640,34.27128067262794885097,108.95181781670583208716,338,3.10,0.1,14,4
1710489641,34.26485683156834620197,108.94608552507095553453,334,9.80,0.9,13,4
1710489642,34.26875068819238868373,108.94846932584612567522,310,0,0.3,9,4
1710489643,34.26895149998474074526,108.95319816888943144016,338,8.20,0.5,12,4
1710489644,34.26828711203344828638,108.94709873958555864131,319,3.50,0.4,12,4
1710489645,34.26942301095614490188,108.94974805139316995757,329,.30,0.4,11,4
1710489646,34.27017498702963347270,108.94614808801538132877,331,3.20,0.2,14,4
1710489647,34.26936472060304574724,108.94544005859553819391,341,10.10,0.4,12,4
1710489648,34.26750370189519943845,108.95209370403149510177,328,.10,0.8,10,4
1710489649,34.26473811456648457289,108.95193928037354655598,342,.70,0.9,11,4
1710489650,34.26774418774987029633,108.94858682210760826441,319,6.20,0.3,11,4
1710489651,34.26194567094943082979,108.94991956541642506179,327,9.80,0.6,10,4
1710489652,34.26216937162388988921,108.94919566637165440839,322,9.30,0.6,11,4
1710489653,34.26362602008117923520,108.95020399792474135563,344,2.80,0.9,9,4
1710489654,34.27000316782128360850,108.94586914883877071443,341,6.60,0.3,10,4
1710489655,34.26838263496810815759,108.94427089449751274147,309,2.80,0.8,9,4
1710489656,34.26260059816278572954,108.94560394299142429883,313,4.50,0.7,14,4
1710489657,34.26599425641651661732,108.95245840021973326822,332,3.10,0.6,11,4
1710489658,34.26520962553788872951,108.94877145908993804742,316,7.00,0.4,11,4
1710489659,34.26407525254066591387,108.95245473799859614856,324,2.10,0.5,14,4
