sol_id,fuel_total_L,avg_cycle_min,utilization_pct,schedule_adh_pct,cv_sum,rank,crowding
1,4115,36.4,67.5,97.3,0.0,2,.0038
2,3211,37.1,82.8,90.8,0.0,13,.7565
3,4512,30.2,66.2,92.1,0.0,6,.1668
4,3301,27.0,69.7,97.9,0.0,3,.6887
5,3838,39.1,55.4,90.0,0.0,13,.6029
6,3481,28.9,55.7,94.7,0.0,5,.4367
7,3428,26.7,62.7,96.2,0.0,9,.8816
8,3212,26.4,68.3,91.7,0.0,3,.6808
9,3809,27.6,73.6,91.5,0.0,15,.0870
10,4026,23.5,77.9,93.1,0.0,20,.7665
11,3838,30.3,77.2,90.1,0.0,5,.7109
12,3465,21.2,55.8,98.8,0.0,9,.1569
13,4066,36.3,61.2,99.6,0.0,1,.7059
14,4984,36.0,65.4,94.7,0.0,18,.8107
15,3620,22.5,65.6,96.5,0.0,8,.4151
16,4971,21.2,70.9,93.2,0.0,18,.6053
17,4772,23.3,84.9,97.1,0.0,8,.5805
18,4075,26.3,60.5,95.3,0.0,2,.8282
19,4476,22.3,82.7,92.8,0.0,11,.3556
20,4939,20.3,67.2,91.8,0.0,2,.6971
21,3680,29.3,83.3,96.3,0.0,6,.2049
22,3637,24.8,71.0,99.0,0.0,10,.7275
23,3711,23.4,66.0,90.0,0.0,20,.0997
24,3308,27.9,57.3,90.0,0.0,5,.1666
25,4937,27.1,80.3,95.3,0.0,11,.6125
26,4572,32.2,56.6,98.2,0.0,15,.3873
27,4246,31.7,69.6,99.9,0.0,17,.6655
28,3264,26.3,80.0,90.5,0.0,5,.3838
29,4169,20.9,71.0,95.6,0.0,17,.3373
30,3602,21.1,84.0,90.1,0.0,11,.3397
31,4316,22.7,58.7,99.2,0.0,6,.6520
32,4427,37.4,60.8,97.0,0.0,2,.6801
33,3686,38.8,67.4,93.8,0.0,15,.2939
34,3438,25.3,66.2,92.2,0.0,8,.7147
35,3852,35.5,70.3,91.2,0.0,3,.7615
36,4358,25.1,70.4,99.0,0.0,1,.7409
37,4554,23.2,62.2,92.8,0.0,1,.9967
38,4296,29.5,71.2,91.3,0.0,1,.0466
39,4083,26.7,77.0,97.6,0.0,12,.9681
40,3661,22.6,84.2,94.6,0.0,15,.4601
41,4213,38.3,57.4,90.3,0.0,17,.9850
42,3371,33.6,62.4,92.6,0.0,10,.4153
43,3893,29.6,64.8,95.1,0.0,17,.7963
44,4338,38.0,81.4,98.4,0.0,2,.5425
45,4692,20.1,63.7,92.4,0.0,14,.6755
46,4557,31.2,75.2,94.8,0.0,20,.2640
47,3456,32.8,73.4,92.9,0.0,20,.6805
48,4466,33.1,72.7,91.1,0.0,20,.8062
49,4080,35.0,80.8,99.4,0.0,9,.3757
50,3361,30.2,74.5,98.6,0.0,16,.5432
51,4726,34.1,61.4,98.5,0.0,12,.1167
52,3295,38.8,64.4,91.3,0.0,1,.5178
53,4559,31.3,58.8,95.6,0.0,3,.3043
54,4178,38.8,75.3,99.0,0.0,13,.7807
55,3859,22.9,73.7,90.3,0.0,5,.4066
56,4687,27.9,63.4,95.6,0.0,10,.4854
57,3979,20.1,55.3,98.3,0.0,5,.1460
58,3254,24.8,56.2,91.3,0.0,8,.8441
59,3451,22.2,72.7,98.5,0.0,3,.6099
60,4159,23.8,69.2,93.6,0.0,10,.0642
61,3515,35.5,58.2,96.9,0.0,19,.7186
62,3380,24.6,79.2,99.5,0.0,5,.9896
63,4698,27.5,84.8,93.6,0.0,11,.5757
64,4498,37.7,59.7,97.0,0.0,9,.3640
65,3844,26.2,72.9,97.0,0.0,20,.5814
66,4374,29.3,76.0,99.6,0.0,14,.8821
67,3324,37.5,63.7,95.0,0.0,1,.6746
68,4583,33.9,82.2,95.5,0.0,4,.0241
69,4787,32.2,57.3,96.4,0.0,11,.0936
70,4612,22.2,74.4,90.9,0.0,13,.2270
71,3947,37.7,63.4,90.6,0.0,4,.5178
72,3276,23.6,74.4,91.6,0.0,6,.5627
73,3941,29.3,56.7,90.0,0.0,12,.8345
74,3200,32.7,58.8,98.2,0.0,6,.4690
75,4786,26.0,62.7,91.8,0.0,12,.4481
76,4674,38.6,63.4,95.3,0.0,17,.6048
77,4042,21.6,70.3,99.6,0.0,16,.1833
78,3737,24.6,59.8,91.5,0.0,15,.5029
79,3940,37.2,63.0,98.5,0.0,15,.4569
80,3578,22.5,69.5,99.3,0.0,15,.0254
81,4998,21.8,59.6,94.7,0.0,9,.6868
82,3707,36.7,57.2,91.5,0.0,15,.9953
83,3994,26.4,69.4,96.1,0.0,18,.2445
84,4018,30.5,58.3,93.9,0.0,5,.0887
85,4747,34.0,68.2,96.0,0.0,10,.6030
86,4566,33.2,58.1,98.7,0.0,3,.6280
87,3313,26.7,56.8,93.7,0.0,14,.4988
88,4797,27.9,57.1,95.7,0.0,2,.4228
89,3832,24.0,79.0,94.0,0.0,14,.3070
