sol_id,fuel_total_L,avg_cycle_min,utilization_pct,schedule_adh_pct,cv_sum,rank,crowding
1,4393,35.8,66.9,94.1,0.0,14,.6136
2,4761,28.6,58.3,97.4,0.0,14,.7358
3,3659,24.0,71.8,96.9,0.0,17,.6555
4,4167,35.6,68.7,95.8,0.0,16,.0401
5,3268,20.6,58.4,91.4,0.0,13,.8528
6,4055,30.0,73.9,97.0,0.0,5,.2481
7,3555,35.9,78.7,99.9,0.0,2,.5968
8,3557,23.7,77.5,92.9,0.0,11,.1300
9,3492,21.5,66.9,96.8,0.0,18,.2941
10,3503,35.8,66.1,92.2,0.0,3,.4524
11,4014,28.3,65.5,99.7,0.0,15,.3183
12,3466,20.0,79.0,90.8,0.0,10,.6088
13,4777,20.9,83.3,95.5,0.0,4,.8670
14,3337,25.9,75.5,91.4,0.0,19,.5758
15,3239,24.0,76.5,94.3,0.0,7,.9572
16,4289,29.0,77.1,96.0,0.0,13,.4297
17,4054,23.7,72.9,96.0,0.0,7,.0201
18,3388,21.3,76.1,94.2,0.0,7,.5846
19,3733,37.2,83.3,93.6,0.0,7,.5197
20,3305,36.1,57.0,95.6,0.0,1,.2532
21,4094,28.8,67.8,98.5,0.0,9,.9103
22,3912,38.5,68.6,93.8,0.0,9,.8678
23,4459,39.4,82.7,93.8,0.0,12,.8873
24,4924,22.6,81.4,99.6,0.0,8,.8025
25,4225,22.6,68.5,94.1,0.0,6,.1244
26,3748,33.1,72.3,99.6,0.0,5,.7700
27,4338,39.2,74.1,90.8,0.0,17,.5160
28,4722,33.7,83.0,93.0,0.0,19,.6940
29,3232,39.4,73.1,93.5,0.0,7,.0497
30,4325,21.9,63.4,96.7,0.0,9,.1305
31,4318,37.0,77.2,91.4,0.0,13,.6361
32,3470,32.5,82.2,96.9,0.0,4,.7875
33,3684,25.4,82.5,92.9,0.0,16,.8570
34,3296,27.4,71.9,93.9,0.0,3,.0075
35,3930,28.6,62.8,96.3,0.0,1,.7604
36,4064,27.6,75.7,92.7,0.0,16,.6829
37,3728,31.1,63.7,98.7,0.0,8,.6587
38,4194,31.4,76.6,98.6,0.0,10,.0361
39,3893,23.3,82.1,91.6,0.0,4,.2479
40,3847,25.3,58.6,96.7,0.0,3,.6276
41,4548,37.6,69.4,95.7,0.0,14,.3348
42,4328,35.0,77.0,97.2,0.0,15,.7366
43,3259,24.0,75.9,95.0,0.0,4,.0986
44,4610,25.2,61.8,97.7,0.0,10,.3377
45,3989,26.7,83.1,91.9,0.0,7,.9415
46,4469,35.0,73.3,91.3,0.0,1,.6245
47,3820,20.4,69.9,92.5,0.0,10,.0048
