sol_id,fuel_total_L,avg_cycle_min,utilization_pct,schedule_adh_pct,cv_sum,rank,crowding
1,3663,25.3,78.5,92.4,0.0,20,.2221
2,3812,38.6,74.5,93.4,0.0,2,.3023
3,3590,28.8,65.0,98.0,0.0,10,.1639
4,4888,35.8,61.4,90.7,0.0,16,.1520
5,3684,28.9,83.4,91.8,0.0,12,.8796
6,4867,39.6,83.4,94.4,0.0,14,.5204
7,4540,20.3,83.2,96.5,0.0,5,.8212
8,3364,27.1,65.2,99.5,0.0,8,.5960
9,4973,30.5,68.9,97.6,0.0,16,.7102
10,3217,26.7,64.0,98.3,0.0,8,.0505
11,3761,35.4,77.0,95.2,0.0,15,.7280
12,4019,31.4,77.3,91.7,0.0,20,.6685
13,4293,22.6,71.1,90.4,0.0,15,.7605
14,3664,36.6,71.7,96.8,0.0,8,.2084
15,4883,38.0,69.6,96.7,0.0,7,.6176
16,3554,34.8,68.5,95.7,0.0,19,.4864
17,4450,28.5,62.3,93.9,0.0,10,.1723
18,4084,35.5,55.1,93.2,0.0,18,.5846
19,4021,36.7,63.9,91.7,0.0,6,.1156
20,4641,27.3,58.7,99.0,0.0,14,.2923
21,3359,33.1,73.3,95.7,0.0,19,.7860
22,4775,28.7,80.1,99.0,0.0,13,.3845
23,4978,30.5,71.1,95.0,0.0,15,.0993
24,3458,20.4,61.1,90.3,0.0,8,.2013
25,3345,38.4,75.3,93.8,0.0,15,.3197
26,4640,24.5,61.7,97.5,0.0,16,.2802
27,3346,28.2,58.7,92.5,0.0,9,.2733
28,3853,30.5,59.7,98.7,0.0,19,.8812
29,3366,31.8,67.4,96.2,0.0,15,.1133
30,4039,26.1,63.0,91.7,0.0,2,.5804
31,4414,21.9,83.5,91.9,0.0,3,.4242
32,3479,29.5,58.3,99.1,0.0,10,.5593
33,4510,26.9,82.0,98.9,0.0,10,.1786
34,4663,32.1,61.9,98.1,0.0,17,.1035
35,4719,29.6,77.7,91.4,0.0,19,.7964
36,4559,33.4,75.1,94.0,0.0,5,.3632
37,4794,32.0,62.6,98.2,0.0,7,.6883
38,4028,33.3,64.9,98.8,0.0,18,.0588
39,3338,21.6,80.6,98.7,0.0,8,.7819
40,4600,35.4,65.0,99.3,0.0,13,.2546
41,4302,36.2,65.8,95.8,0.0,8,.7139
42,3836,39.4,69.5,97.6,0.0,4,.7138
43,4397,28.7,67.6,99.3,0.0,7,.4217
44,3918,39.9,76.0,92.7,0.0,12,.4234
45,3872,39.1,84.0,99.0,0.0,17,.2239
46,4030,22.7,66.5,90.1,0.0,15,.8203
47,3274,29.9,72.2,99.2,0.0,1,.3540
48,4614,23.2,66.6,93.3,0.0,19,.9376
49,3947,21.7,66.6,99.0,0.0,15,.9974
50,4908,21.3,63.2,91.6,0.0,6,.8384
51,4632,28.3,61.9,99.9,0.0,6,.9773
52,3437,21.1,60.6,99.9,0.0,16,.7721
