equipment_id,zone_assigned,dispatch_time,est_arrival,priority,fuel_budget_L
EXC01,11,07:51,09:46,3,111
EXC02,7,08:36,06:29,2,73
EXC03,8,06:46,06:58,2,56
EXC04,2,07:25,06:34,2,88
EXC05,4,06:46,07:30,2,73
EXC06,1,09:38,06:57,3,77
EXC07,1,09:18,10:51,2,53
EXC08,7,06:29,06:45,3,60
DMP01,7,08:18,08:54,1,48
DMP02,2,07:51,09:05,3,94
DMP03,6,08:59,10:23,3,105
DMP04,8,07:55,10:29,2,100
DMP05,2,09:56,07:51,1,111
DMP06,2,09:52,08:03,2,108
DMP07,11,06:13,10:58,1,116
DMP08,9,09:00,08:56,1,70
DMP09,9,09:56,08:11,1,86
DMP10,3,09:48,06:21,3,114
DMP11,3,09:05,07:33,1,107
DMP12,10,08:19,07:09,2,60
DMP13,11,06:39,09:06,2,41
DMP14,4,09:49,07:17,2,70
BDZ01,2,09:29,09:35,3,115
BDZ02,8,08:15,09:49,2,90
BDZ03,9,06:55,10:50,1,95
BDZ04,6,08:27,08:33,2,68
BDZ05,11,07:01,10:11,3,103
BDZ06,6,07:07,08:57,1,101
CMP01,1,07:35,06:56,2,57
CMP02,8,08:14,08:21,1,48
CMP03,7,07:20,07:33,2,92
CMP04,3,09:07,08:56,1,114
