equipment_id,zone_assigned,dispatch_time,est_arrival,priority,fuel_budget_L
EXC01,8,06:09,06:17,1,49
EXC02,6,07:07,10:51,1,116
EXC03,10,08:13,07:14,1,114
EXC04,11,07:44,09:06,3,42
EXC05,1,08:27,09:48,2,116
EXC06,5,06:24,09:24,2,91
EXC07,7,09:02,07:13,2,53
EXC08,4,08:54,07:15,3,79
DMP01,8,06:24,09:36,2,98
DMP02,5,08:58,07:07,2,114
DMP03,7,07:00,09:10,3,75
DMP04,4,09:03,09:18,3,67
DMP05,1,06:11,10:08,2,54
DMP06,4,09:12,09:05,2,55
DMP07,9,08:49,07:19,1,48
DMP08,12,09:56,10:56,3,85
DMP09,6,06:26,07:14,1,56
DMP10,4,08:15,06:45,3,79
DMP11,5,08:50,09:38,2,86
DMP12,10,09:37,08:30,3,51
DMP13,9,06:57,10:28,1,104
DMP14,5,07:58,10:10,2,85
BDZ01,5,08:17,08:24,1,85
BDZ02,2,06:33,07:07,1,89
BDZ03,8,09:59,06:30,2,48
BDZ04,7,06:15,09:34,2,51
BDZ05,5,09:00,10:00,2,104
BDZ06,11,09:20,09:14,1,86
CMP01,8,09:37,09:24,1,112
CMP02,3,09:24,06:11,2,86
CMP03,12,09:11,10:36,2,93
CMP04,1,06:08,10:15,2,51
