equipment_id,zone_assigned,dispatch_time,est_arrival,priority,fuel_budget_L
EXC01,11,09:49,08:27,2,90
EXC02,4,09:07,06:49,1,115
EXC03,3,06:16,09:44,2,40
EXC04,11,06:31,08:58,1,89
EXC05,11,06:43,06:39,2,66
EXC06,9,06:22,10:20,2,43
EXC07,9,07:26,07:12,3,118
EXC08,12,07:49,09:17,2,52
DMP01,2,07:52,06:30,1,114
DMP02,2,06:22,09:00,3,65
DMP03,10,09:47,06:35,2,49
DMP04,7,07:04,08:50,2,86
DMP05,4,09:22,09:17,2,42
DMP06,4,09:12,09:10,1,79
DMP07,5,07:29,06:08,1,83
DMP08,8,08:36,07:12,1,111
DMP09,10,07:50,10:20,1,51
DMP10,12,08:18,10:30,1,81
DMP11,8,08:47,08:48,1,117
DMP12,9,06:25,06:43,3,60
DMP13,4,08:34,07:41,3,70
DMP14,9,06:46,08:29,2,112
BDZ01,4,07:49,09:22,1,63
BDZ02,5,08:04,06:19,1,104
BDZ03,5,07:21,10:00,3,45
BDZ04,6,08:56,10:23,3,55
BDZ05,11,07:23,10:42,1,49
BDZ06,12,07:57,10:44,3,67
CMP01,4,08:36,10:10,3,53
CMP02,4,08:15,07:55,1,80
CMP03,5,09:52,09:26,1,98
CMP04,9,09:37,06:36,3,88
