equipment_id,zone_assigned,dispatch_time,est_arrival,priority,fuel_budget_L
EXC01,8,06:29,06:18,3,113
EXC02,4,07:38,07:26,3,95
EXC03,2,07:29,10:44,2,95
EXC04,12,08:00,10:26,1,55
EXC05,2,08:56,08:06,1,67
EXC06,8,07:32,10:47,3,86
EXC07,10,06:07,10:08,2,67
EXC08,4,08:14,08:39,3,43
DMP01,12,07:29,06:30,2,116
DMP02,6,08:51,09:18,2,58
DMP03,11,09:43,06:01,3,41
DMP04,7,07:17,06:13,3,105
DMP05,11,08:12,07:42,3,103
DMP06,9,08:46,09:10,1,44
DMP07,9,08:15,08:47,2,79
DMP08,9,08:59,06:18,3,92
DMP09,8,07:28,08:45,1,48
DMP10,9,09:55,09:59,3,48
DMP11,5,07:32,10:25,3,117
DMP12,8,09:58,08:13,2,80
DMP13,9,08:32,08:18,2,49
DMP14,12,07:20,08:59,1,40
BDZ01,6,09:58,07:20,3,42
BDZ02,9,08:14,09:11,3,92
BDZ03,1,07:53,08:51,2,93
BDZ04,1,07:37,06:08,2,55
BDZ05,8,07:50,08:38,2,43
BDZ06,11,09:57,06:44,1,57
CMP01,3,06:36,07:00,3,93
CMP02,7,06:33,08:51,1,67
CMP03,8,07:46,09:03,1,49
CMP04,3,07:36,09:10,2,99
